word_count,sentence_count,spelling_errors,long_word,exc_count,que_count,stopwords_count,unigrams_count,bigrams_count,trigrams_count,noun_count,adj_count,adv_count,verb_count,syllable_count,smog_index,coleman_liau_index,dale_chall_readability_score,difficult_words,linsear_write_formula,neg_sentiment,neu_sentiment,pos_sentiment,score1,score2,score
461,21,16,82,0,2,183,222,420,453,121,22,16,79,567,11,9.92,7.36,70,5.785714286,0.505,17.932,2.563,5,5,10
402,18,19,47,0,1,190,168,336,378,75,26,30,83,481,10.7,7.31,6.1,35,8.5,0.535,15,2.464,4,4,8
294,27,11,48,0,0,105,130,238,274,64,20,16,57,377,9.3,8.56,6.31,36,2.958333333,0.278,21.23,5.493,4,4,8
491,17,42,67,0,0,243,148,337,408,98,23,51,91,611,13.4,9,6.69,47,10.4,0.498,15.571,0.931,4,4,8
413,26,13,54,2,6,168,193,368,399,80,23,24,75,470,8.9,7.35,6.26,45,4.055555556,0.356,21.772,3.872,4,4,8
627,37,40,102,0,0,228,247,514,584,170,47,33,114,773,10.3,9.85,7.18,94,5.857142857,5.031,29.703,2.265,5,4,9
630,36,25,104,4,3,198,266,522,594,174,38,35,109,755,10.2,10.26,7.15,92,5.0625,1.765,30.978,3.257,6,5,11
509,37,18,66,1,2,196,176,390,461,122,32,19,83,585,8.8,6.36,5.55,38,3.272727273,2.775,29.542,4.683,5,4,9
355,24,20,56,0,2,135,161,301,335,71,30,16,76,431,9.6,8.86,6.7,47,4.444444444,3.278,18.135,2.586,4,4,8
512,42,38,73,0,1,196,245,463,501,106,39,24,84,612,8.6,6.77,6.83,76,3.8,4.196,33.867,3.938,5,5,10
425,27,25,87,3,3,160,215,389,414,101,32,23,75,535,10.2,10.32,7.06,64,5.857142857,0.587,21.492,4.922,5,5,10
490,30,28,83,1,2,195,221,422,465,109,31,24,86,612,10.2,7.71,6.87,68,5,0.362,26.577,3.061,4,5,9
401,21,26,65,5,2,164,208,376,393,96,25,25,75,512,11.1,9.05,6.98,57,5.571428571,1.878,17.438,1.683,5,4,9
300,14,10,35,0,0,121,131,248,275,77,18,14,55,332,9.5,7.02,6.03,26,7.083333333,0.749,10.729,2.522,4,4,8
440,24,24,74,10,3,163,214,399,419,105,26,14,83,542,10.8,9.45,7.1,65,5.642857143,0.36,20.691,2.949,4,4,8
435,25,46,80,0,0,186,169,326,381,105,37,32,84,559,11.5,8.93,6.35,48,5.285714286,2.244,20.452,2.304,4,4,8
359,21,19,86,0,0,141,168,304,329,91,25,16,57,493,11.5,11.01,7.5,63,4.888888889,0.102,18.618,2.28,4,4,8
447,19,18,69,0,0,199,188,388,427,106,28,22,82,568,11.6,8.65,6.32,42,7.75,0.995,16.01,1.996,4,4,8
336,12,12,49,0,0,155,164,302,326,77,29,13,69,431,11.9,9,7.15,44,12.5,0.225,9.784,1.991,4,4,8
416,15,20,69,0,0,189,203,379,406,89,25,20,83,509,11.7,8.88,7.42,60,6.583333333,1.804,12.116,1.081,4,4,8
398,10,21,55,0,1,158,144,267,314,101,23,10,73,451,12.7,8.89,7.6,45,15.83333333,0.177,8.556,1.267,4,4,8
272,13,19,43,0,0,108,138,244,262,70,7,15,47,319,10.1,9.1,7.19,40,7,0.457,11.333,1.21,4,3,7
333,17,13,59,0,0,141,169,304,325,85,19,25,60,424,11.9,8.52,6.61,40,5.785714286,0.229,14.329,2.442,4,4,8
561,31,37,86,10,2,206,248,480,538,127,51,33,92,656,10.3,8.81,6.7,69,5.857142857,0.642,23.774,6.584,5,5,10
167,13,11,20,0,0,70,99,155,163,33,8,12,32,188,8.6,5.55,5.59,13,4.166666667,0.389,10.566,2.045,3,3,6
432,23,24,62,2,1,187,176,358,405,90,32,22,74,519,9.9,8.87,7.03,61,6.666666667,0.056,19.064,3.88,5,4,9
183,6,10,34,0,0,81,117,179,181,46,12,9,35,241,13.6,10.28,8.03,32,12.375,0.127,4.378,1.496,3,3,6
210,9,51,48,0,0,68,140,205,208,64,23,8,28,294,12.3,11.55,8.85,52,6.357142857,0,7.965,1.035,4,3,7
411,21,19,38,0,0,178,200,382,405,83,26,24,75,454,8.1,5.68,6.05,36,5.928571429,1.965,16.317,2.718,4,4,8
600,23,32,139,0,1,225,271,528,578,157,59,26,110,846,14.2,12.25,8.18,114,8.1,0.062,18.589,4.349,6,6,12
470,36,19,83,0,0,159,214,419,455,127,26,26,78,609,10,10.13,7.16,76,5.4375,0.517,29.483,6.001,5,5,10
292,19,11,45,1,0,124,147,272,288,67,21,13,51,361,9.6,7.88,6.44,35,7.583333333,0.236,15.879,2.885,4,4,8
211,6,24,20,0,0,98,124,196,205,43,18,5,43,257,11.5,6.16,7.18,24,15.83333333,0.178,5.181,0.641,4,3,7
436,32,21,69,0,1,149,167,347,407,121,22,16,75,521,9,8.22,6.73,59,5.5,0.905,28.032,3.063,5,4,9
571,28,33,84,2,1,223,226,463,533,133,54,29,93,707,11.4,10.03,7.22,82,8,0.736,24.4,2.863,5,5,10
431,19,18,66,0,0,193,180,359,396,92,19,24,88,531,10.9,7.31,6.14,37,6.916666667,0.358,15.359,3.284,5,5,10
387,23,19,51,0,2,161,166,322,364,76,30,25,85,451,9.9,7.65,5.75,29,8.3,3.211,17.689,2.1,4,4,8
733,29,63,101,0,0,305,331,652,718,179,58,43,133,894,10.8,8.65,7.08,97,8.7,2.464,24.641,1.895,4,6,10
202,15,9,25,0,0,89,101,170,185,37,9,6,37,242,9.2,7.29,6.5,26,4.9375,0.203,11.715,3.081,3,3,6
359,19,20,33,0,0,165,124,262,306,75,28,17,67,414,8,5.22,5.41,19,5.928571429,0.821,17.262,0.917,3,4,7
460,24,22,94,0,1,183,198,391,439,96,28,29,81,616,12.6,11.53,7.79,82,7.083333333,1.889,19.839,2.271,5,5,10
159,8,5,20,0,0,77,98,152,156,40,6,5,28,203,10.4,7.83,6.67,20,7.416666667,0.561,7.149,0.29,4,4,8
311,17,3,47,0,0,127,139,252,283,78,30,13,51,378,11.2,8.29,6.83,41,5.214285714,1.143,14.215,1.643,4,4,8
285,16,22,37,3,4,118,159,266,278,67,19,13,54,339,8.8,8.12,6.03,26,7.833333333,0.353,10.917,4.731,4,3,7
510,37,38,66,9,6,174,207,422,476,119,39,27,90,567,8.8,7.98,6.41,58,5.5,1.71,30.057,5.232,5,5,10
487,36,37,94,0,0,160,206,405,459,136,39,25,84,640,10.1,9.38,6.75,69,4.166666667,0.198,27.019,8.783,5,5,10
443,22,34,74,0,0,187,169,350,406,92,35,22,82,544,9.8,8.36,6.02,38,8.3,1.312,19.643,1.045,4,4,8
606,39,20,119,3,7,245,234,513,580,129,44,33,107,762,9.7,9.62,6.84,85,7,2.189,29.236,7.572,4,5,9
467,19,16,65,0,1,162,170,364,421,131,21,18,98,558,12.2,9.52,6.36,42,7.5,0.572,15.267,3.161,5,4,9
379,16,15,46,0,2,167,175,342,370,85,25,28,54,456,10.1,7.43,6.68,43,7.333333333,0.487,13.366,2.147,4,4,8
421,21,19,62,0,1,177,178,365,404,94,23,20,84,523,10.8,8.12,6.86,56,6.666666667,0,16.185,4.815,4,4,8
139,5,8,11,0,0,50,76,126,135,30,13,7,29,159,7.6,7.67,6.14,10,12.375,0,4.299,0.701,2,2,4
368,20,21,51,0,0,150,160,311,352,75,24,15,75,439,8.8,7.13,6.03,33,7,0.35,17.366,2.284,4,4,8
355,15,21,40,0,1,160,162,316,344,98,15,13,64,416,10.4,7.14,6.22,31,5.714285714,0.491,12.787,1.721,4,4,8
423,25,10,80,0,1,153,203,380,413,105,34,15,75,550,11,10.14,7.68,77,4.444444444,0.087,19.685,5.228,5,5,10
539,24,24,61,0,1,242,195,427,497,94,39,39,98,610,9.9,7.95,6.36,52,10.3,0.804,20.224,2.972,5,5,10
431,37,32,56,0,4,158,188,366,413,103,28,10,76,502,8.3,7.28,6.21,48,2.769230769,2.34,31.566,3.094,4,5,9
350,28,29,61,0,0,133,181,316,340,78,31,19,71,447,9.3,8.97,6.97,55,4.333333333,1.821,22.558,3.621,4,4,8
391,21,13,78,0,0,137,187,340,377,96,43,15,70,532,12.1,10.79,7.32,63,7.583333333,0.676,17.144,3.18,4,4,8
246,11,17,49,0,1,87,145,231,243,54,15,14,53,314,11,10.1,7.86,43,12.5,0.384,9.066,1.55,3,3,6
541,30,27,95,0,2,217,233,455,499,122,38,32,108,700,11.1,9.45,6.54,65,8.2,3.306,23.36,3.334,6,5,11
367,23,9,60,1,0,155,150,314,353,91,23,18,63,449,10.3,8,6.29,40,5.642857143,0.308,18.999,3.693,4,4,8
284,15,28,38,0,0,115,140,247,269,62,20,14,68,356,10.5,8.12,6.46,32,5.714285714,1.337,12.471,1.192,4,4,8
481,31,29,72,1,0,212,186,397,459,104,27,23,95,605,9.9,7.07,6.1,49,5.25,0.382,24.499,6.118,4,5,9
593,30,34,98,0,2,243,237,522,576,141,37,22,100,712,10.1,8.7,6.8,76,8,1.276,26.059,2.665,5,5,10
336,15,19,23,0,0,149,155,296,324,56,18,22,77,374,8.4,6.62,6.1,28,6.071428571,1.299,12.238,1.462,4,4,8
271,17,13,33,4,4,89,128,216,244,70,28,4,51,294,8.1,5.73,5.87,23,5,1.264,13.274,2.462,3,4,7
146,11,12,15,0,1,66,75,135,143,31,3,5,28,164,9.3,5.32,5.82,13,5.1875,0.048,9.654,1.298,3,3,6
330,11,22,44,0,0,126,155,282,319,100,30,24,57,403,11,9.23,6.68,32,8.9,1.114,8.725,1.162,4,4,8
251,18,9,28,0,0,114,129,225,242,46,13,20,52,308,9.2,6.89,6.06,26,4.9375,0.26,15.124,2.617,3,3,6
534,29,35,101,10,4,211,242,476,516,127,34,29,88,680,11.3,9.16,7.49,91,5.928571429,0.581,25.204,3.216,5,5,10
417,27,15,50,1,1,186,162,328,384,87,21,13,80,484,9.7,7.18,5.45,26,5.571428571,1.58,24.012,1.407,4,4,8
413,19,29,73,0,0,146,140,279,327,127,34,10,75,580,13.1,9.69,6.08,35,7,0.34,14.481,4.178,4,4,8
363,19,13,68,0,0,138,166,307,337,101,25,21,60,486,12.3,10.21,7.15,54,8.6,0.41,17.444,1.146,4,4,8
415,28,23,62,0,4,177,202,380,407,77,27,29,82,504,10,6.71,6.61,54,7,1.183,23.6,3.216,4,4,8
384,23,27,55,0,0,164,167,310,358,99,21,22,67,459,9.3,7.36,6.28,42,5.1875,0.132,19.619,3.248,5,5,10
424,18,35,53,2,1,173,198,390,420,97,34,35,70,490,10.4,8.3,6.71,48,8.8,1.5,14.954,1.546,4,4,8
514,28,40,77,0,1,211,262,477,507,119,34,27,95,645,10.6,8.81,7.05,76,6.214285714,1.222,23.215,3.564,5,4,9
345,19,20,39,0,0,124,156,306,339,88,18,21,65,394,9.1,7.02,6.2,34,6.285714286,0.38,15.695,2.925,3,4,7
235,4,5,19,2,0,89,123,200,215,76,15,14,36,262,11.7,8.32,8.16,26,16.66666667,0.178,3.56,0.262,3,3,6
682,32,43,77,0,0,293,297,602,664,134,44,54,124,779,9.2,7.25,6.2,64,6.916666667,0.353,27.072,4.574,6,5,11
268,12,9,41,0,0,120,97,183,206,62,8,9,43,316,9.5,7.2,6.14,24,11.875,0,10.297,1.703,4,4,8
146,9,5,28,0,0,58,88,132,137,34,7,15,20,177,12.3,9.63,7.93,26,6.666666667,0.586,8.026,0.388,4,4,8
423,20,29,57,0,2,161,209,379,411,118,24,16,79,448,8.7,8.7,6.96,54,7.416666667,0.422,17.886,1.692,4,4,8
352,21,24,93,0,0,121,195,323,343,99,26,21,51,494,11.4,12.11,8.23,76,6.071428571,0.208,19.567,1.225,4,5,9
460,23,19,84,0,2,195,176,363,411,92,25,26,82,567,11.3,9.28,6.81,58,11.875,1.282,20.016,1.703,4,5,9
434,19,22,56,6,3,176,212,389,423,100,18,21,74,499,9.4,7.78,7.01,57,5.785714286,0.756,16.238,2.006,4,4,8
293,18,15,46,0,0,119,145,248,272,66,25,11,60,370,11,9.27,6.74,39,4.875,1.211,15.419,1.368,3,4,7
241,15,9,32,0,0,97,132,202,218,57,22,20,40,284,8.3,8.46,6.36,28,7.333333333,1.403,13.376,0.22,4,3,7
573,29,32,93,5,10,221,238,478,531,133,45,31,109,687,9.6,9.1,6.81,73,8.1,0.631,21.46,6.91,5,5,10
422,26,21,88,3,1,159,205,360,393,98,42,20,78,563,10.2,10.03,6.89,61,5.1875,0.403,21.258,4.339,4,5,9
543,30,28,104,0,1,205,198,417,498,130,34,16,99,665,11.4,10.66,6.75,68,6.666666667,2.434,25.081,2.485,5,4,9
540,35,28,69,1,0,207,245,488,533,136,30,36,105,662,8.5,8.81,6.24,58,4.5,1.908,29.863,3.228,6,5,11
425,23,30,65,0,0,173,193,387,412,88,17,29,90,527,10.5,8.12,6.35,46,5.285714286,0.898,19.861,2.24,4,4,8
445,20,11,71,1,0,175,190,379,427,105,27,23,75,556,11.1,9.46,6.8,54,8.6,0.179,17.02,2.801,3,4,7
165,6,9,17,0,0,74,93,150,162,33,10,12,33,194,10.7,7.43,6.58,19,8.4,0.288,5.186,0.526,3,3,6
378,28,21,45,5,0,130,159,310,349,71,21,27,67,433,8.8,7.69,6.23,41,4.333333333,1.303,20.515,6.183,4,4,8
369,22,24,74,0,0,150,146,280,317,106,28,14,47,499,11.4,10.08,6.77,50,6.5,3.307,17.598,1.096,4,4,8
664,33,25,101,4,1,258,270,575,643,153,39,42,121,792,10.6,8.58,6.94,89,6.75,0.557,27.463,4.98,5,5,10
393,26,18,92,0,0,136,189,355,378,113,26,28,58,542,11.4,11.07,7.54,72,5.5,0.553,23.002,2.445,5,4,9
593,25,20,61,0,0,271,230,507,573,128,27,22,104,668,10.4,6.96,6.4,57,6.916666667,0.47,21.207,3.324,5,5,10
544,31,35,70,7,2,183,241,483,539,141,39,33,85,596,8.6,8.4,7.17,78,4.9375,1.5,24.762,4.737,5,5,10
321,19,12,41,0,0,132,153,267,300,64,20,23,55,388,10.1,7.42,6.18,33,7.416666667,0.894,15.817,2.289,4,4,8
566,32,21,56,0,1,264,227,486,535,103,40,37,112,658,8.9,6.15,5.8,45,5.571428571,2.914,25.458,3.627,5,4,9
323,16,8,39,0,0,134,123,214,245,68,20,6,68,390,9.7,6.96,5.95,26,5.928571429,0.488,13.737,1.775,4,4,8
367,16,11,59,0,0,154,179,326,351,88,15,25,60,459,11.8,8.94,7.28,54,5.571428571,0.036,13.353,2.611,5,4,9
440,29,12,82,0,1,173,198,369,411,104,30,31,64,576,10.9,8.29,6.73,61,5,0,24.038,4.962,4,4,8
465,28,31,102,0,1,160,213,398,455,149,49,19,69,661,12,11.13,7.06,71,6.428571429,0.663,22.745,4.592,4,4,8
527,36,32,99,0,0,212,221,452,515,114,39,31,91,666,10.7,9.03,7.72,98,5.571428571,2.24,29.044,4.716,5,5,10
459,29,28,56,2,1,191,193,379,432,95,29,25,79,534,9.2,6.26,6.05,44,4.611111111,0.208,23.511,5.28,4,4,8
394,35,25,81,0,0,142,170,335,376,100,24,16,62,500,9.7,9.49,6.52,52,4.277777778,0.241,30.35,4.408,4,5,9
426,21,17,56,2,2,177,193,380,414,105,28,23,71,507,9.6,7.94,7.23,64,5.75,0.255,18.193,2.552,4,5,9
490,30,38,98,4,4,177,235,449,482,105,45,26,76,612,10.7,11.42,7.83,92,5.8125,1.847,23.169,4.983,6,5,11
464,27,23,68,0,1,181,148,338,403,106,19,27,100,555,9,7.3,5.94,40,5.0625,0.439,22.124,4.437,4,4,8
429,22,24,66,8,2,167,180,347,390,107,26,13,79,491,10,8.93,6.65,51,7.083333333,0.836,17.71,3.455,5,4,9
762,40,27,107,3,0,309,267,606,706,153,51,37,145,919,10.8,8.81,6.3,78,7.333333333,1.318,33.059,5.622,5,5,10
337,23,22,62,0,1,137,157,280,314,72,24,20,70,419,10.1,8.45,6.86,49,4.111111111,1.485,19.763,1.752,4,4,8
314,25,28,46,0,0,114,170,292,307,74,19,14,54,369,9.7,7.46,6.48,39,4.8125,0.14,20.922,3.938,4,4,8
264,9,5,42,0,0,115,121,239,258,67,17,10,45,321,12.7,8.59,7.24,34,7,0.073,7.621,1.306,3,4,7
562,29,30,108,0,0,212,261,490,535,160,39,29,102,732,11,9.8,7.3,91,6.214285714,0.232,25.307,3.461,4,6,10
468,21,27,66,0,0,186,189,377,432,122,37,33,71,543,10.6,9.46,7.04,61,4.5,1.509,18.111,1.38,4,4,8
455,30,10,82,0,0,198,217,403,440,98,26,33,81,573,10,8.69,6.76,63,7.333333333,1.896,25.121,2.984,5,4,9
322,13,26,50,0,4,147,130,252,290,67,17,25,68,406,12.6,8.82,6.8,37,5.214285714,0.675,10.62,1.705,3,4,7
484,17,50,63,0,0,197,213,430,470,108,21,29,101,561,11,8.13,6.75,51,7.083333333,0.506,14.032,2.462,5,4,9
336,10,14,44,0,0,146,136,260,297,86,20,16,42,405,11.6,7.26,6.67,32,12.25,0.111,8.817,1.072,3,4,7
16,1,0,2,0,0,6,15,15,14,2,4,0,2,18,0,4.17,6.49,2,6,0.175,0.55,0.275,1,1,2
626,29,29,95,2,0,242,297,575,623,131,38,50,103,743,10.2,7.89,6.82,78,8.4,0.732,24.41,3.858,6,5,11
368,18,23,44,3,3,149,182,326,355,69,19,26,64,415,9.9,7.77,6.59,42,5.25,0.311,14.712,2.977,4,4,8
138,11,15,29,0,0,45,100,135,135,39,8,7,25,173,9.8,10.83,8.02,29,4.388888889,0.191,9.64,1.168,4,3,7
591,34,18,86,1,2,255,259,529,580,137,30,21,100,684,9.6,7.24,6.54,71,5.785714286,0.315,29.173,4.512,5,6,11
364,24,16,78,3,0,143,171,314,346,79,26,31,68,481,11.3,9.45,6.48,45,4.75,0.926,19.157,3.917,4,4,8
445,32,20,56,0,0,154,190,368,413,126,27,20,69,510,8.6,8.16,6.72,58,5.642857143,2.215,25.541,4.244,4,5,9
437,23,15,72,1,1,200,194,381,418,94,27,23,76,572,11.7,8.81,6.67,56,5.5,1.203,18.073,3.725,4,5,9
482,24,27,66,7,0,176,204,417,463,124,34,26,72,534,9.9,8.93,6.94,61,6.916666667,0.272,18.768,3.96,4,5,9
509,25,34,109,7,0,162,231,422,478,143,43,27,79,675,12.9,12.29,7.71,86,7.833333333,0.236,20.463,4.302,6,5,11
283,15,13,41,0,0,126,127,252,273,66,15,8,61,365,10.8,8.35,6.92,40,5.714285714,0.381,13.23,1.389,5,4,9
550,29,36,90,0,0,229,204,432,495,131,35,27,102,693,10.9,8.12,6.4,61,6.071428571,0.541,23.477,4.983,4,5,9
52,2,5,12,0,0,23,40,49,50,14,4,3,8,73,0,10.62,7.09,7,11,0.237,1.652,0.111,1,1,2
493,23,31,75,2,0,197,223,446,480,115,34,32,88,592,10.8,9.23,6.98,65,6.5,1.355,20.063,1.582,5,5,10
561,27,25,75,0,1,194,237,484,546,147,51,21,80,631,10,9.63,7.5,88,7.6,0.355,22.183,4.461,5,5,10
472,26,24,84,0,0,181,186,388,447,121,35,24,97,631,11.2,9.34,6.22,49,8.7,0.189,21.589,4.221,5,4,9
477,19,18,58,5,0,248,195,415,456,82,27,41,97,569,9.9,6.33,6.13,39,10.4,0.363,16.432,2.205,4,5,9
618,41,30,95,2,2,218,285,558,608,146,34,34,96,733,9.5,8.98,7.15,96,4.611111111,1.293,36.471,3.236,5,5,10
399,29,30,48,1,0,150,176,344,382,80,29,23,60,447,9.5,7,6.5,48,4.5625,1.252,23.372,4.376,4,4,8
362,22,15,48,0,0,141,154,296,339,89,25,8,55,418,9,8,6.33,40,6.142857143,0,19.009,2.991,4,4,8
382,26,26,57,0,0,169,162,313,352,79,18,31,69,477,10.3,7.58,6.22,42,4.875,2.484,22.346,1.168,4,4,8
285,17,16,58,0,0,99,134,244,267,74,11,13,41,367,11,9.39,6.94,40,6.071428571,0.117,15.114,1.768,4,4,8
657,32,38,112,3,1,222,278,552,630,175,41,34,119,824,11.3,10.09,7.28,98,5.375,0.434,26.587,4.979,6,6,12
426,29,36,43,8,3,160,168,339,392,91,22,29,82,461,8.1,7.35,6.22,44,4.222222222,0.424,23.198,5.378,4,4,8
470,25,18,94,0,0,185,190,382,423,98,18,35,96,583,11,9.28,6.33,49,6.666666667,0.058,22.559,2.383,4,5,9
