,char_count,word_count,sentence_count,avg_sentence_len,spelling_errors,long_word,exc_count,que_count,comma_count,stopwords_num,sat_num,unigram,bigrams,trigrams,noun_count,adj_count,adv_count,verb_count,fw_count,neg_sentiment,neu_sentiment,pos_sentiment,syllable_count,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog
29,2603.0,574.0,34.0,16.88235294117647,35,83,3,4,30,199,7,247,501,554,123,43,39,96,96,0.247,25.909000000000006,7.844000000000001,660,72.97,10.3,6.9,8.34,7.5,7.17,83,6.357142857142857,15.113898305084746
30,2416.0,503.0,30.0,16.766666666666666,28,85,3,0,11,222,9,213,433,478,108,26,31,82,82,1.4000000000000001,24.296999999999997,4.303,627,73.07,10.1,6.8,7.24,6.5,6.58,63,4.5625,13.602913907284767
31,3941.0,792.0,36.0,22.0,40,140,1,0,19,318,7,324,645,752,214,55,32,136,136,0.6689999999999999,32.028,3.3030000000000004,962,68.7,10.3,8.5,9.63,10.1,7.13,112,7.333333333333334,16.16915593705293
32,2798.0,544.0,26.0,20.923076923076923,31,99,0,1,3,220,8,238,477,528,130,38,28,93,93,0.97,21.258,3.7720000000000002,722,68.6,10.5,8.5,8.94,9.6,6.78,70,10.8,15.32268244575937
33,2225.0,485.0,36.0,13.472222222222221,37,56,1,0,12,209,4,188,393,441,99,29,28,84,84,2.241,30.852,2.906,568,84.88,8.6,4.4,6.48,4.5,5.79,42,6.285714285714286,10.682264150943396
34,2141.0,471.0,28.0,16.821428571428573,38,57,1,0,10,197,3,212,405,444,103,28,20,84,84,0.0,23.841,4.159000000000001,540,81.63,8.9,5.6,5.91,5.4,6.03,44,5.928571428571429,12.19047619047619
35,2062.0,404.0,29.0,13.931034482758621,8,84,0,0,14,145,4,187,350,389,106,32,14,67,67,1.423,21.673,5.904999999999999,522,67.65,10.4,6.8,10.02,7.5,7.51,73,4.625,15.135454545454545
36,2377.0,487.0,22.0,22.136363636363637,14,75,0,0,9,198,5,195,410,460,122,29,18,88,88,1.1889999999999998,17.902,2.909,602,68.1,10.4,8.7,8.36,9.4,6.46,51,12.0,14.646924829157175
37,1841.0,368.0,26.0,14.153846153846153,13,65,0,1,8,151,8,168,311,346,83,27,24,66,66,0.0,22.125999999999998,3.874,476,75.4,10.3,5.9,8.22,6.4,6.7,51,4.666666666666667,13.264578313253015
38,2204.0,458.0,34.0,13.470588235294118,8,66,0,0,13,161,7,183,334,389,120,26,22,76,76,0.0,29.442000000000004,4.558,562,76.72,9.5,5.4,8.51,6.2,6.35,53,3.7,12.035897435897438
39,1585.0,312.0,13.0,24.0,18,53,1,0,6,124,0,174,302,309,72,23,17,62,62,0.405,11.38,1.2149999999999999,389,66.57,12.1,9.3,9.75,11.3,7.3,46,8.7,17.171428571428574
40,1573.0,354.0,21.0,16.857142857142858,22,31,0,0,6,131,1,161,302,338,91,25,20,66,66,2.092,17.318999999999996,1.5890000000000002,397,82.44,8.1,5.3,6.84,5.8,6.35,38,4.277777777777778,12.76361204013378
41,2361.0,481.0,25.0,19.24,34,83,0,0,15,181,4,216,428,470,122,26,30,87,87,2.0940000000000003,21.486999999999995,1.4180000000000001,594,71.24,11.5,7.5,8.99,8.6,6.71,60,7.0,14.43375886524823
42,2500.0,500.0,23.0,21.73913043478261,36,74,0,0,12,234,9,186,399,446,104,32,21,88,88,0.641,18.479000000000003,3.878,613,68.4,10.6,8.6,8.88,9.7,6.32,49,7.083333333333334,14.197180616740088
43,1316.0,267.0,11.0,24.272727272727273,28,41,0,0,12,100,1,144,242,259,71,17,9,49,49,0.0,10.884999999999998,0.11499999999999999,331,64.24,11.4,10.2,9.29,11.8,7.47,40,9.0,18.242689075630253
44,2926.0,634.0,34.0,18.647058823529413,21,75,0,4,25,261,9,249,550,610,134,50,43,104,104,3.572000000000001,27.60000000000001,2.8289999999999997,725,80.51,8.8,6.0,7.65,7.1,6.43,69,10.4,13.485703839122488
45,2607.0,531.0,30.0,17.7,20,99,0,3,18,210,9,248,473,514,142,35,22,76,76,1.523,24.21,4.267,656,73.07,10.6,6.8,9.74,8.5,7.66,94,7.333333333333334,16.340220750551875
46,2350.0,466.0,27.0,17.25925925925926,11,82,0,1,26,184,5,205,394,441,109,35,36,86,86,3.36,22.363999999999997,1.278,593,73.07,10.5,6.8,9.68,8.5,7.28,75,5.571428571428571,15.374963325183376
47,1991.0,425.0,26.0,16.346153846153847,15,49,0,0,7,173,5,193,361,400,95,27,14,85,85,2.805,22.201999999999998,0.993,488,82.14,8.8,5.4,6.89,6.0,6.19,44,4.875,12.456084656084656
48,4425.0,895.0,42.0,21.30952380952381,42,156,1,0,41,321,4,333,730,850,243,64,38,155,155,0.8220000000000001,35.784,5.394,1109,61.97,11.1,9.0,10.44,10.1,6.78,109,6.666666666666667,14.824400527009221
49,1419.0,304.0,24.0,12.666666666666666,18,50,0,4,11,84,2,152,276,299,78,27,12,50,50,1.1150000000000002,18.123,4.7620000000000005,356,69.79,9.2,6.0,9.6,6.6,7.41,50,3.9000000000000004,14.29875518672199
50,2181.0,465.0,31.0,15.0,32,61,1,1,16,187,6,213,409,443,131,27,16,68,68,0.423,27.441,3.136,546,75.2,9.3,6.0,7.41,5.8,6.32,52,4.0,12.361290322580645
51,1952.0,421.0,28.0,15.035714285714286,47,59,0,1,12,144,9,209,385,413,119,27,15,66,66,0.477,23.808,3.715,493,75.71,9.7,5.8,8.28,6.3,7.15,64,4.555555555555555,14.335243553008596
52,1806.0,361.0,21.0,17.19047619047619,16,62,0,0,18,122,2,164,292,324,94,22,28,76,76,1.3920000000000001,17.713,1.8960000000000001,425,73.58,10.5,6.6,10.49,8.9,6.47,41,6.0,13.182019543973944
53,2891.0,583.0,29.0,20.103448275862068,26,106,0,1,36,212,6,251,499,561,156,39,20,84,84,0.324,25.705000000000002,2.9710000000000005,746,63.19,12.1,8.5,10.44,9.6,7.61,99,8.0,16.583870967741934
54,3549.0,732.0,33.0,22.181818181818183,45,97,1,0,25,342,7,264,602,695,134,44,64,145,145,1.153,29.928999999999995,1.918,859,76.96,10.3,7.4,8.76,9.5,6.02,58,6.833333333333333,13.425780525502319
55,1102.0,232.0,11.0,21.09090909090909,28,33,0,0,8,101,4,117,198,219,57,11,8,37,37,0.108,9.794,1.0979999999999999,278,77.47,11.0,7.2,7.37,8.1,6.31,23,6.666666666666667,14.020952380952384
56,2256.0,461.0,21.0,21.952380952380953,16,82,0,2,24,183,8,222,420,453,121,22,16,79,79,0.505,17.932000000000002,2.5630000000000006,567,69.21,11.0,8.3,9.92,10.1,7.36,70,5.785714285714286,16.612896725440805
57,1911.0,402.0,18.0,22.333333333333332,19,47,0,1,4,190,2,168,336,378,75,26,30,83,83,0.535,15.0,2.464,481,77.37,10.7,7.2,7.31,8.1,6.1,35,8.5,13.515616438356165
58,1478.0,294.0,27.0,10.88888888888889,11,48,0,0,0,105,7,130,238,274,64,20,16,57,57,0.278,21.230000000000004,5.492999999999999,377,70.19,9.3,5.9,8.56,5.5,6.31,36,2.9583333333333335,11.39984555984556
59,2379.0,491.0,17.0,28.88235294117647,42,67,0,0,26,243,6,148,337,408,98,23,51,91,91,0.498,15.570999999999998,0.9309999999999999,611,60.89,13.4,11.5,9.0,13.2,6.69,47,10.4,17.171797235023043
60,1921.0,413.0,26.0,15.884615384615385,13,54,2,6,20,168,1,193,368,399,80,23,24,75,75,0.356,21.772000000000002,3.8720000000000003,470,83.96,8.9,4.7,7.35,5.6,6.26,45,4.055555555555555,12.1361797752809
61,3009.0,627.0,37.0,16.945945945945947,40,102,0,0,29,228,11,247,514,584,170,47,33,114,114,5.0310000000000015,29.703,2.2650000000000006,773,65.62,10.3,7.6,9.85,8.1,7.18,94,5.857142857142857,14.856890595009597
62,3008.0,630.0,36.0,17.5,25,104,4,3,30,198,10,266,522,594,174,38,35,109,109,1.7650000000000001,30.978000000000005,3.2569999999999997,755,65.83,10.2,7.5,10.26,8.4,7.15,92,5.0625,14.719533073929961
63,2354.0,509.0,37.0,13.756756756756756,18,66,1,2,22,196,2,176,390,461,122,32,19,83,83,2.775,29.541999999999998,4.683,585,85.28,8.8,4.2,6.36,4.4,5.55,38,3.2727272727272725,9.968071748878925
64,1732.0,355.0,24.0,14.791666666666666,20,56,0,2,8,135,5,161,301,335,71,30,16,76,76,3.2779999999999996,18.135,2.586,431,75.4,9.6,5.9,8.86,6.9,6.7,47,4.444444444444445,13.263790849673207
65,2411.0,512.0,42.0,12.19047619047619,38,73,0,1,4,196,14,245,463,501,106,39,24,84,84,4.195999999999999,33.867,3.9379999999999997,612,77.53,8.6,5.1,6.77,4.4,6.83,76,3.8,13.020576496674057
66,2156.0,425.0,27.0,15.74074074074074,25,87,3,3,18,160,6,215,389,414,101,32,23,75,75,0.587,21.492000000000004,4.922000000000001,535,66.13,10.2,7.4,10.32,8.3,7.06,64,5.857142857142857,14.396521739130435
67,2298.0,490.0,30.0,16.333333333333332,28,83,1,2,19,195,19,221,422,465,109,31,24,86,86,0.362,26.576999999999998,3.061,612,73.98,10.2,6.5,7.71,6.4,6.87,68,5.0,14.080000000000002
68,2013.0,401.0,21.0,19.095238095238095,26,65,5,2,7,164,5,208,376,393,96,25,25,75,75,1.8780000000000003,17.438000000000006,1.6829999999999998,512,71.04,11.1,7.6,9.05,8.8,6.98,57,5.571428571428571,15.173333333333336
69,1358.0,300.0,14.0,21.428571428571427,10,35,0,0,13,121,0,131,248,275,77,18,14,55,55,0.7489999999999999,10.729,2.5220000000000002,332,80.41,9.5,6.1,7.02,6.6,6.03,26,7.083333333333334,12.495444015444015
70,2172.0,440.0,24.0,18.333333333333332,24,74,10,3,23,163,3,214,399,419,105,26,14,83,83,0.36,20.691,2.9490000000000007,542,72.16,10.8,7.2,9.45,8.5,7.1,65,5.642857142857143,15.170833333333334
71,2182.0,435.0,25.0,17.4,46,80,0,0,0,186,3,169,326,381,105,37,32,84,84,2.2439999999999998,20.452,2.304,559,72.46,11.5,7.1,8.93,7.9,6.35,48,5.285714285714286,13.177959183673472
72,1915.0,359.0,21.0,17.095238095238095,19,86,0,0,13,141,10,168,304,329,91,25,16,57,57,0.102,18.618000000000002,2.2800000000000002,493,64.51,11.5,8.0,11.01,9.6,7.5,63,4.888888888888889,15.955000000000002
73,2268.0,447.0,19.0,23.526315789473685,18,69,0,0,2,199,4,188,388,427,106,28,22,82,82,0.995,16.009999999999998,1.9960000000000002,568,66.27,11.6,9.4,8.65,10.5,6.32,42,7.75,14.768192771084339
74,1721.0,336.0,12.0,28.0,12,49,0,0,3,155,11,164,302,326,77,29,13,69,69,0.22499999999999998,9.784,1.9909999999999999,431,61.8,11.9,11.1,9.0,12.8,7.15,44,12.5,18.085095541401273
75,2018.0,416.0,15.0,27.733333333333334,20,69,0,0,13,189,6,203,379,406,89,25,20,83,83,1.8039999999999998,12.116,1.081,509,63.32,11.7,10.6,8.88,11.9,7.42,60,6.583333333333333,18.366486486486487
76,1835.0,398.0,10.0,39.8,21,55,0,1,14,158,10,144,267,314,101,23,10,73,73,0.177,8.556,1.2670000000000001,451,58.59,12.7,14.5,8.89,18.2,7.6,45,15.833333333333334,22.38973451327434
77,1292.0,272.0,13.0,20.923076923076923,19,43,0,0,17,108,9,138,244,262,70,7,15,47,47,0.45699999999999996,11.333,1.2100000000000002,319,71.65,10.1,7.4,9.1,8.5,7.19,40,7.0,15.526406926406928
78,1653.0,333.0,17.0,19.58823529411765,13,59,0,0,6,141,7,169,304,325,85,19,25,60,60,0.229,14.329,2.442,424,70.43,11.9,7.8,8.52,8.6,6.61,40,5.785714285714286,14.3956146179402
79,2651.0,561.0,31.0,18.096774193548388,37,86,10,2,19,206,8,248,480,538,127,51,33,92,92,0.642,23.774,6.584000000000002,656,72.26,10.3,7.1,8.81,8.0,6.7,69,5.857142857142857,14.13405857740586
80,759.0,167.0,13.0,12.846153846153847,11,20,0,0,2,70,0,99,155,163,33,8,12,32,32,0.389,10.566,2.045,188,85.28,8.6,4.2,5.55,3.8,5.59,13,4.166666666666667,10.073513513513515
81,2062.0,432.0,23.0,18.782608695652176,24,62,2,1,22,187,4,176,358,405,90,32,22,74,74,0.056,19.064000000000004,3.8800000000000003,519,72.05,9.9,7.2,8.87,8.1,7.03,61,6.666666666666667,15.016819407008086
82,957.0,183.0,6.0,30.5,10,34,0,0,4,81,2,117,179,181,46,12,9,35,35,0.127,4.378,1.496,241,59.98,13.6,11.8,10.28,14.7,8.03,32,12.375,20.819047619047623
83,1152.0,210.0,9.0,23.333333333333332,51,48,0,0,6,68,4,140,205,208,64,23,8,28,28,0.0,7.965,1.035,294,60.35,12.3,9.6,11.55,11.6,8.85,52,6.357142857142857,20.49720207253886
84,1842.0,411.0,21.0,19.571428571428573,19,38,0,0,12,178,6,200,382,405,83,26,24,75,75,1.9649999999999999,16.317,2.718,454,87.55,8.1,5.4,5.68,6.2,6.05,36,5.928571428571429,12.91304347826087
85,3196.0,600.0,23.0,26.08695652173913,32,139,0,1,26,225,18,271,528,578,157,59,26,110,110,0.062,18.589000000000002,4.348999999999999,846,48.13,14.2,12.3,12.25,13.8,8.18,114,8.1,19.82003780718337
86,2399.0,470.0,36.0,13.055555555555555,19,83,0,0,20,159,10,214,419,455,127,26,26,78,78,0.517,29.482999999999997,6.0009999999999994,609,68.47,10.0,6.5,10.13,7.4,7.16,76,5.4375,14.026172839506174
87,1451.0,292.0,19.0,15.368421052631579,11,45,1,0,5,124,5,147,272,288,67,21,13,51,51,0.236,15.879,2.8850000000000002,361,73.37,9.6,6.7,7.88,6.9,6.44,35,7.583333333333334,13.163445692883897
88,1007.0,211.0,6.0,35.166666666666664,24,20,0,0,0,98,4,124,196,205,43,18,5,43,43,0.178,5.181,0.641,257,62.35,11.5,13.0,6.16,14.1,7.18,24,15.833333333333334,20.30588235294118
89,2064.0,436.0,32.0,13.625,21,69,0,1,11,149,9,167,347,407,121,22,16,75,75,0.9049999999999999,28.032000000000004,3.063,521,76.72,9.0,5.4,8.22,6.0,6.73,59,5.5,12.995663956639568
90,2706.0,571.0,28.0,20.392857142857142,33,84,2,1,42,223,5,226,463,533,133,54,29,93,93,0.736,24.399999999999995,2.863,707,62.88,11.4,8.7,10.03,9.4,7.22,82,8.0,15.698723404255322
91,2105.0,431.0,19.0,22.68421052631579,18,66,0,0,6,193,1,180,359,396,92,19,24,88,88,0.358,15.358999999999998,3.2840000000000003,531,75.34,10.9,8.0,7.31,9.1,6.14,37,6.916666666666667,14.161592039800997
92,1819.0,387.0,23.0,16.82608695652174,19,51,0,2,13,161,1,166,322,364,76,30,25,85,85,3.2110000000000003,17.689,2.1,451,81.12,9.9,5.8,7.65,6.8,5.75,29,8.3,11.611764705882354
93,3603.0,733.0,29.0,25.275862068965516,63,101,0,0,3,305,3,331,652,718,179,58,43,133,133,2.4640000000000004,24.641,1.895,894,73.61,10.8,8.7,8.65,10.9,7.08,97,8.7,16.994586466165412
94,975.0,202.0,15.0,13.466666666666667,9,25,0,0,6,89,1,101,170,185,37,9,6,37,37,0.203,11.715,3.081,242,84.57,9.2,4.5,7.29,5.3,6.5,26,4.9375,12.585856353591161
95,1667.0,359.0,19.0,18.894736842105264,20,33,0,0,2,165,0,124,262,306,75,28,17,67,67,0.821,17.262,0.9169999999999999,414,87.25,8.0,5.5,5.22,6.0,5.41,19,5.928571428571429,11.368520710059173
96,2310.0,460.0,24.0,19.166666666666668,22,94,0,1,34,183,11,198,391,439,96,28,29,81,81,1.8890000000000002,19.839000000000006,2.271,616,56.05,12.6,9.2,11.53,10.1,7.79,82,7.083333333333334,16.688923884514434
97,799.0,159.0,8.0,19.875,5,20,0,0,1,77,1,98,152,156,40,6,5,28,28,0.5609999999999999,7.149,0.29000000000000004,203,69.31,10.4,8.3,7.83,8.3,6.67,20,7.416666666666666,14.853333333333337
98,1468.0,311.0,17.0,18.294117647058822,3,47,0,0,11,127,7,139,252,283,78,30,13,51,51,1.143,14.215000000000002,1.643,378,72.36,11.2,7.1,8.29,7.5,6.83,41,5.214285714285714,14.416654275092936
99,1401.0,285.0,16.0,17.8125,22,37,3,4,4,118,2,159,266,278,67,19,13,54,54,0.353,10.917,4.731,339,80.51,8.8,6.0,8.12,7.5,6.03,26,7.833333333333334,12.471007751937986
100,2308.0,510.0,37.0,13.783783783783784,38,66,9,6,21,174,9,207,422,476,119,39,27,90,90,1.7100000000000002,30.057,5.232,567,76.72,8.8,5.4,7.98,5.8,6.41,58,5.5,12.190361445783134
101,2496.0,487.0,36.0,13.527777777777779,37,94,0,0,8,160,6,206,405,459,136,39,25,84,84,0.198,27.019000000000002,8.783,640,67.65,10.1,6.8,9.38,7.0,6.75,69,4.166666666666667,13.199447004608297
102,2230.0,443.0,22.0,20.136363636363637,34,74,0,0,9,187,1,169,350,406,92,35,22,82,82,1.3119999999999998,19.642999999999997,1.045,544,77.87,9.8,7.0,8.36,8.8,6.02,38,8.3,13.169320388349513
103,3045.0,606.0,39.0,15.538461538461538,20,119,3,7,23,245,18,234,513,580,129,44,33,107,107,2.189,29.235999999999997,7.572,762,74.59,9.7,6.2,9.62,7.7,6.84,85,7.0,13.843013182674198
104,2179.0,467.0,19.0,24.57894736842105,16,65,0,1,7,162,9,170,364,421,131,21,18,98,98,0.5720000000000001,15.267,3.161,558,67.69,12.2,8.9,9.52,10.5,6.36,42,7.5,14.501085271317828
105,1802.0,379.0,16.0,23.6875,15,46,0,2,12,167,4,175,342,370,85,25,28,54,54,0.48700000000000004,13.365999999999998,2.1470000000000002,456,75.13,10.1,8.1,7.43,9.4,6.68,43,7.333333333333334,15.574577259475218
106,2067.0,421.0,21.0,20.047619047619047,19,62,0,1,16,177,7,178,365,404,94,23,20,84,84,0.0,16.184999999999995,4.8149999999999995,523,70.02,10.8,8.0,8.12,8.5,6.86,56,6.666666666666667,15.119265091863518
107,660.0,139.0,5.0,27.8,8,11,0,0,5,50,1,76,126,135,30,13,7,29,29,0.0,4.299,0.7010000000000001,159,71.28,7.6,9.6,7.67,11.2,6.14,10,12.375,15.254603174603176
108,1742.0,368.0,20.0,18.4,21,51,0,0,8,150,1,160,311,352,75,24,15,75,75,0.35000000000000003,17.366,2.2840000000000003,439,80.01,8.8,6.2,7.13,6.9,6.03,33,7.0,12.627915407854985
109,1671.0,355.0,15.0,23.666666666666668,21,40,0,1,4,160,1,162,316,344,98,15,13,64,64,0.491,12.786999999999999,1.721,416,75.13,10.4,8.1,7.14,9.1,6.22,31,5.714285714285714,14.422928348909657
110,2117.0,423.0,25.0,16.92,10,80,0,1,24,153,6,203,380,413,105,34,15,75,75,0.087,19.685000000000002,5.228000000000001,550,65.73,11.0,7.6,10.14,8.3,7.68,77,4.444444444444445,16.084848484848486
111,2492.0,539.0,24.0,22.458333333333332,24,61,0,1,27,242,1,195,427,497,94,39,39,98,98,0.804,20.223999999999997,2.9719999999999995,610,77.16,9.9,7.3,7.95,8.8,6.36,52,10.3,14.22351931330472
112,1993.0,431.0,37.0,11.64864864864865,32,56,0,4,13,158,5,188,366,413,103,28,10,76,76,2.34,31.566000000000003,3.0940000000000003,502,78.45,8.3,4.8,7.28,4.6,6.21,48,2.769230769230769,11.209256198347108
113,1792.0,350.0,28.0,12.5,29,61,0,0,6,133,6,181,316,340,78,31,19,71,71,1.8209999999999997,22.558000000000003,3.6210000000000004,447,77.03,9.3,5.3,8.97,6.4,6.97,55,4.333333333333333,13.508753993610226
114,2050.0,391.0,21.0,18.61904761904762,13,78,0,0,21,137,13,187,340,377,96,43,15,70,70,0.6759999999999999,17.144,3.18,532,63.09,12.1,8.6,10.79,9.9,7.32,63,7.583333333333334,15.88137931034483
115,1238.0,246.0,11.0,22.363636363636363,17,49,0,1,1,87,4,145,231,243,54,15,14,53,53,0.384,9.066,1.55,314,58.11,11.0,10.5,10.1,11.6,7.86,43,12.5,18.6
116,2773.0,541.0,30.0,18.033333333333335,27,95,0,2,12,217,5,233,455,499,122,38,32,108,108,3.306,23.36,3.334,700,71.85,11.1,7.3,9.45,8.7,6.54,65,8.2,13.826122448979593
117,1764.0,367.0,23.0,15.956521739130435,9,60,1,0,21,155,1,150,314,353,91,23,18,63,63,0.308,18.999000000000002,3.6929999999999996,449,74.19,10.3,6.4,8.0,6.6,6.29,40,5.642857142857143,12.55356037151703
118,1379.0,284.0,15.0,18.933333333333334,28,38,0,0,4,115,2,140,247,269,62,20,14,68,68,1.337,12.471000000000002,1.1920000000000002,356,71.24,10.5,7.5,8.12,7.9,6.46,32,5.714285714285714,13.799370078740157
119,2338.0,481.0,31.0,15.516129032258064,29,72,1,0,8,212,3,186,397,459,104,27,23,95,95,0.382,24.499,6.1179999999999986,605,73.98,9.9,6.5,7.07,5.9,6.1,49,5.25,12.124444444444444
